10
spawn,2,1
finish,1,2,1,0
checkpoint,3,2,3,0
checkpoint,4,2,4,0
checkpoint,5,2,5,0
checkpoint,6,2,6,0
checkpoint,7,2,8,0
checkpoint,7,2,9,1
checkpoint,7,2,9,2
checkpoint,7,3,9,3
checkpoint,7,3,9,4
checkpoint,7,3,9,5
checkpoint,7,2,7,0
checkpoint,7,3,7,5
checkpoint,6,3,6,5
checkpoint,5,3,5,5
checkpoint,4,3,4,5
checkpoint,3,3,3,5
checkpoint,2,3,2,5
checkpoint,2,5,1,3
checkpoint,2,5,1,4
checkpoint,2,5,1,5
checkpoint,2,6,1,6
checkpoint,2,6,1,7
checkpoint,2,6,2,7
checkpoint,3,6,3,7
checkpoint,4,6,4,7
checkpoint,5,6,5,7
checkpoint,6,6,6,7
checkpoint,7,6,7,7
checkpoint,8,7,8,6
checkpoint,8,7,9,6
checkpoint,8,7,9,7
checkpoint,8,8,9,8
checkpoint,8,8,9,9
checkpoint,8,8,8,9
checkpoint,7,8,7,9
checkpoint,6,8,6,9
checkpoint,5,8,5,9
checkpoint,4,8,4,9
checkpoint,3,8,3,9
checkpoint,2,8,2,9
checkpoint,2,8,2,9
checkpoint,1,8,1,9
checkpoint,0,8,0,9
checkpoint,0,7,0,7
checkpoint,0,6,0,6
checkpoint,0,5,0,5
checkpoint,0,4,0,4
checkpoint,0,4,0,4
checkpoint,0,3,0,3
checkpoint,0,2,0,0
0,0,2,90
1,0,1,0
2,0,1,0
3,0,1,0
4,0,1,0
5,0,1,0
6,0,1,0
7,0,1,0
8,0,1,0
9,0,2,0
0,1,1,90
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
9,1,1,270
0,2,1,90
1,2,1,180
2,2,1,180
3,2,1,180
4,2,1,180
5,2,1,180
6,2,1,180
7,2,0,180
8,2,0,180
9,2,1,270
0,3,4,180
1,3,2,90
2,3,1,0
3,3,1,0
4,3,1,0
5,3,1,0
6,3,1,0
7,3,0,180
8,3,0,0
9,3,1,270
0,4,4,180
1,4,1,90
2,4,0,180
3,4,0,180
4,4,0,180
5,4,0,180
6,4,0,180
7,4,0,180
8,4,0,180
9,4,1,270
0,5,4,180
1,5,1,90
2,5,0,180
3,5,1,180
4,5,1,180
5,5,1,180
6,5,1,180
7,5,1,180
8,5,1,180
9,5,2,270
0,6,4,180
1,6,1,90
2,6,0,180
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0
7,6,1,0
8,6,1,0
9,6,2,0
0,7,4,180
1,7,2,180
2,7,1,180
3,7,1,180
4,7,1,180
5,7,1,180
6,7,1,180
7,7,1,180
8,7,0,180
9,7,1,270
0,8,1,90
1,8,1,0
2,8,1,0
3,8,1,0
4,8,1,0
5,8,1,0
6,8,1,0
7,8,1,0
8,8,0,180
9,8,1,270
0,9,3,180
1,9,1,180
2,9,1,180
3,9,1,180
4,9,1,180
5,9,1,180
6,9,1,180
7,9,1,180
8,9,1,180
9,9,2,270
